
timestamp,dataset_size,n_queries,max_conditions,time_seconds
2025-10-28 09:45:01,1000.0,100.0,1.0,2.86
2025-10-28 09:45:06,1000.0,1000.0,1.0,5.43
2025-10-28 09:45:15,1000.0,2000.0,1.0,9.01
2025-10-28 09:45:40,1000.0,5000.0,1.0,25.15
2025-10-28 09:46:52,1000.0,10000.0,1.0,72.07
2025-10-28 09:49:50,10000.0,100.0,1.0,177.42
2025-10-28 09:52:47,10000.0,1000.0,1.0,176.93
2025-10-28 09:55:48,10000.0,2000.0,1.0,181.17
2025-10-28 09:59:05,10000.0,5000.0,1.0,197.22
2025-10-28 10:03:10,10000.0,10000.0,1.0,244.62
2025-10-28 10:19:04,20000.0,100.0,1.0,953.93
2025-10-28 10:30:51,20000.0,1000.0,1.0,706.9
2025-10-28 10:42:37,20000.0,2000.0,1.0,706.05
2025-10-28 10:54:41,20000.0,5000.0,1.0,724.52
2025-10-28 11:08:56,20000.0,10000.0,1.0,855.27
2025-10-28 11:35:45,30000.0,100.0,1.0,1608.55
2025-10-28 12:02:14,30000.0,1000.0,1.0,1588.64
2025-10-28 12:31:36,30000.0,2000.0,1.0,1762.58
2025-10-28 13:01:29,30000.0,5000.0,1.0,1792.38
2025-10-28 13:41:22,30000.0,10000.0,1.0,2393.19
2025-10-30 13:59:12,40000.0,100.0,1.0,3853.76
2025-10-28 20:05:32,40000.0,1000.0,1.0,2956.92
2025-10-28 20:53:24,40000.0,2000.0,1.0,2872.26
2025-10-29 07:06:10,40000.0,5000.0,1.0,36765.87
2025-10-29 11:11:06,50000.0,100.0,1.0,7547.21
2025-10-29 13:15:42,50000.0,1000.0,1.0,4819.22
2025-10-29 14:30:03,50000.0,2000.0,1.0,4460.94
2025-10-30 11:57:58,50000.0,10000.0,1.0,6952.06
