2,5,1.0902,2
2,10,1.0337,2
2,20,1.0089,2
2,30,1.0089,2
2,40,0.8811,2
2,55,0.9263,2
2,5,0.6546,2
2,10,0.6159,2
2,20,0.6817,2
2,30,0.7966,2
2,40,0.9225,2
2,55,0.961,2
3,5,0.645,3
3,10,0.6576,3
3,20,0.7183,3
3,30,0.8208,3
3,40,0.8413,3
3,55,0.9831,3
4,5,0.7266,4
4,10,0.8047,4
4,20,0.8756,4
4,30,0.8952,4
4,40,1.0311,4
4,55,1.1,4
5,5,0.8269,5
5,10,0.8497,5
5,20,0.9151,5
5,30,1.0173,5
5,40,1.1417,5
5,55,1.1978,5
6,5,0.9526,6
6,10,0.9992,6
6,20,1.0439,6
6,30,1.1788,6
6,40,1.3264,6
6,55,1.5289,6
7,5,1.1482,7
7,10,1.2703,7
7,20,1.3101,7
7,30,1.4031,7
7,40,1.4403,7
7,55,1.6287,7
8,5,1.5312,8
8,10,1.6023,8
8,20,1.6398,8
8,30,1.7645,8
8,40,1.9819,8
8,55,2.092,8
9,5,2.2693,9
9,10,2.347,9
9,20,2.4412,9
9,30,2.5807,9
9,40,2.6561,9
9,55,2.8924,9
10,5,4.0439,10
10,10,4.1389,10
10,20,4.639,10
10,30,4.3896,10
10,40,4.5332,10
10,55,5.0341,10
11,5,8.2325,11
11,10,8.8301,11
11,20,8.6768,11
11,30,12.5378,11
11,40,15.5618,11
11,55,13.1195,11
12,5,22.8908,12
12,10,21.8036,12
12,20,21.1234,12
12,30,25.3641,12
12,40,23.1203,12
12,55,22.0325,12
13,5,55.6358,13
13,10,52.0818,13
13,20,52.8677,13
13,30,47.9074,13
13,40,48.1719,13
13,55,53.8922,13
14,5,119.4874,14
14,10,117.842,14
14,20,102.6736,14
14,30,116.9169,14
14,40,130.3163,14
14,55,123.8063,14
15,5,285.8547,15
15,10,284.4257,15
15,20,270.5365,15
15,30,592.5957,15
15,40,276.9092,15
15,55,281.4918,15
